user_id,signup_date,signup_month,acquisition_channel,city_tier,device_os,age_bracket
100000,2026-01-17,2026-01,referral,Tier 2,iOS,25-34
100001,2026-01-09,2026-01,referral,Tier 3,Android,25-34
100002,2026-01-20,2026-01,referral,Tier 2,Android,35-44
100003,2026-01-15,2026-01,organic,Tier 2,Android,25-34
100004,2026-01-03,2026-01,organic,Tier 3,Android,18-24
100005,2026-01-26,2026-01,paid_ads,Tier 2,Android,45-54
100006,2026-01-17,2026-01,organic,Tier 2,Android,25-34
100007,2026-01-17,2026-01,organic,Tier 1,Android,18-24
100008,2026-01-04,2026-01,organic,Tier 2,iOS,25-34
100009,2026-01-09,2026-01,paid_ads,Tier 2,iOS,18-24
100010,2026-01-08,2026-01,organic,Tier 2,Android,45-54
100011,2026-01-23,2026-01,paid_ads,Tier 3,Android,25-34
100012,2026-01-14,2026-01,organic,Tier 3,Android,45-54
100013,2026-01-19,2026-01,referral,Tier 3,iOS,25-34
100014,2026-01-09,2026-01,organic,Tier 2,Android,35-44
100015,2026-01-05,2026-01,organic,Tier 3,Android,18-24
100016,2026-01-12,2026-01,referral,Tier 3,Android,25-34
100017,2026-01-03,2026-01,paid_ads,Tier 1,Android,25-34
100018,2026-01-19,2026-01,organic,Tier 2,Android,25-34
100019,2026-01-13,2026-01,referral,Tier 1,Android,55+
100020,2026-01-17,2026-01,referral,Tier 1,Android,35-44
100021,2026-01-08,2026-01,organic,Tier 1,Android,25-34
100022,2026-01-26,2026-01,referral,Tier 2,Android,35-44
100023,2026-01-21,2026-01,organic,Tier 1,Android,18-24
100024,2026-01-17,2026-01,referral,Tier 1,Android,45-54
100025,2026-01-05,2026-01,organic,Tier 1,Android,25-34
100026,2026-01-10,2026-01,referral,Tier 2,Android,18-24
100027,2026-01-02,2026-01,organic,Tier 3,Android,25-34
100028,2026-01-04,2026-01,referral,Tier 3,Android,18-24
100029,2026-01-14,2026-01,referral,Tier 2,Android,45-54
100030,2026-01-16,2026-01,partner_bank,Tier 1,Android,25-34
100031,2026-01-25,2026-01,referral,Tier 3,Android,18-24
100032,2026-01-07,2026-01,paid_ads,Tier 1,Android,35-44
100033,2026-01-08,2026-01,organic,Tier 3,Android,18-24
100034,2026-01-10,2026-01,organic,Tier 2,iOS,18-24
100035,2026-01-05,2026-01,organic,Tier 2,Android,35-44
100036,2026-01-04,2026-01,referral,Tier 1,Android,18-24
100037,2026-01-10,2026-01,paid_ads,Tier 1,Android,35-44
100038,2026-01-05,2026-01,paid_ads,Tier 2,Android,25-34
100039,2026-01-14,2026-01,referral,Tier 2,iOS,25-34
100040,2026-01-09,2026-01,referral,Tier 3,Android,25-34
100041,2026-01-19,2026-01,organic,Tier 2,Android,25-34
100042,2026-01-15,2026-01,organic,Tier 2,Android,25-34
100043,2026-01-07,2026-01,paid_ads,Tier 1,Android,25-34
100044,2026-01-19,2026-01,organic,Tier 2,Android,35-44
100045,2026-01-18,2026-01,organic,Tier 1,Android,25-34
100046,2026-01-08,2026-01,partner_bank,Tier 2,Android,35-44
100047,2026-01-06,2026-01,partner_bank,Tier 2,iOS,18-24
100048,2026-01-14,2026-01,referral,Tier 3,Android,45-54
100049,2026-01-04,2026-01,organic,Tier 2,Android,18-24
100050,2026-01-05,2026-01,paid_ads,Tier 1,Android,35-44
100051,2026-01-01,2026-01,organic,Tier 3,Android,25-34
100052,2026-01-17,2026-01,referral,Tier 2,Android,18-24
100053,2026-01-14,2026-01,organic,Tier 2,Android,25-34
100054,2026-01-15,2026-01,partner_bank,Tier 2,iOS,45-54
100055,2026-01-17,2026-01,partner_bank,Tier 3,Android,35-44
100056,2026-01-10,2026-01,paid_ads,Tier 1,Android,35-44
100057,2026-01-12,2026-01,organic,Tier 2,Android,25-34
100058,2026-01-04,2026-01,referral,Tier 3,Android,25-34
100059,2026-01-04,2026-01,organic,Tier 1,Android,25-34
100060,2026-01-14,2026-01,partner_bank,Tier 3,Android,35-44
100061,2026-01-10,2026-01,organic,Tier 2,Android,25-34
100062,2026-01-12,2026-01,organic,Tier 1,Android,35-44
100063,2026-01-17,2026-01,paid_ads,Tier 1,Android,35-44
100064,2026-01-13,2026-01,referral,Tier 3,Android,25-34
100065,2026-01-11,2026-01,paid_ads,Tier 3,Android,35-44
100066,2026-01-12,2026-01,organic,Tier 1,Android,25-34
100067,2026-01-07,2026-01,paid_ads,Tier 1,iOS,18-24
100068,2026-01-02,2026-01,organic,Tier 1,Android,25-34
100069,2026-01-09,2026-01,organic,Tier 1,Android,25-34
100070,2026-01-05,2026-01,referral,Tier 2,iOS,25-34
100071,2026-01-09,2026-01,organic,Tier 1,Android,35-44
100072,2026-01-20,2026-01,referral,Tier 1,Android,35-44
100073,2026-01-06,2026-01,organic,Tier 1,Android,25-34
100074,2026-01-03,2026-01,organic,Tier 2,iOS,55+
100075,2026-01-06,2026-01,paid_ads,Tier 2,Android,45-54
100076,2026-01-07,2026-01,organic,Tier 2,Android,18-24
100077,2026-01-14,2026-01,paid_ads,Tier 2,Android,25-34
100078,2026-01-12,2026-01,paid_ads,Tier 3,Android,45-54
100079,2026-01-17,2026-01,organic,Tier 2,Android,25-34
100080,2026-01-14,2026-01,paid_ads,Tier 3,iOS,25-34
100081,2026-01-09,2026-01,organic,Tier 2,Android,45-54
100082,2026-01-18,2026-01,organic,Tier 1,Android,35-44
100083,2026-01-05,2026-01,organic,Tier 3,Android,35-44
100084,2026-01-02,2026-01,paid_ads,Tier 2,iOS,45-54
100085,2026-01-03,2026-01,referral,Tier 2,Android,18-24
100086,2026-01-16,2026-01,referral,Tier 1,Android,35-44
100087,2026-01-10,2026-01,partner_bank,Tier 2,Android,35-44
100088,2026-01-04,2026-01,organic,Tier 3,Android,25-34
100089,2026-01-10,2026-01,partner_bank,Tier 1,Android,18-24
100090,2026-01-04,2026-01,paid_ads,Tier 1,Android,18-24
100091,2026-01-15,2026-01,partner_bank,Tier 1,Android,35-44
100092,2026-01-09,2026-01,partner_bank,Tier 2,Android,35-44
100093,2026-01-08,2026-01,partner_bank,Tier 3,Android,45-54
100094,2026-01-07,2026-01,organic,Tier 2,Android,25-34
100095,2026-01-13,2026-01,paid_ads,Tier 3,Android,35-44
100096,2026-01-08,2026-01,paid_ads,Tier 2,Android,18-24
100097,2026-01-03,2026-01,referral,Tier 2,Android,45-54
100098,2026-01-04,2026-01,organic,Tier 1,Android,25-34
100099,2026-01-25,2026-01,partner_bank,Tier 1,Android,35-44
