user_id,recency_days,frequency,monetary_inr,r_score,f_score,m_score,rfm_score,segment
100009,154,1,167.39,1,1,1,3,Dormant / Churned
100011,0,93,41589.45,4,4,4,12,Power Users
100012,0,96,49597.57,4,4,4,12,Power Users
100013,4,115,59793.09,3,4,4,11,Power Users
100014,14,49,26729.19,2,4,4,10,"At-Risk (was frequent, going quiet)"
100015,0,34,16808.31,4,4,4,12,Power Users
100016,7,29,15335.33,2,4,4,10,"At-Risk (was frequent, going quiet)"
100019,146,1,411.06,1,1,1,3,Dormant / Churned
100020,5,30,19013.53,3,4,4,11,Power Users
100021,31,12,10574.34,1,3,3,7,"At-Risk (was frequent, going quiet)"
100022,60,2,1386.6,1,1,2,4,Dormant / Churned
100024,26,36,20026.5,2,4,4,10,"At-Risk (was frequent, going quiet)"
100025,98,2,1510.9099999999999,1,1,2,4,Dormant / Churned
100027,24,37,18985.03,2,4,4,10,"At-Risk (was frequent, going quiet)"
100031,0,46,25221.29,4,4,4,12,Power Users
100033,11,44,21596.71,2,4,4,10,"At-Risk (was frequent, going quiet)"
100034,61,9,6108.7,1,3,3,7,"At-Risk (was frequent, going quiet)"
100038,151,1,625.69,1,1,1,3,Dormant / Churned
100039,58,6,4181.58,1,2,2,5,Dormant / Churned
100040,112,3,3326.16,1,1,2,4,Dormant / Churned
100053,5,8,6729.9,3,2,3,8,Regular Users
100055,0,43,27168.95,4,4,4,12,Power Users
100056,80,29,19354.68,1,4,4,9,"At-Risk (was frequent, going quiet)"
100057,3,32,18585.12,3,4,4,11,Power Users
100058,1,111,60341.56,4,4,4,12,Power Users
100062,74,28,15621.380000000001,1,4,4,9,"At-Risk (was frequent, going quiet)"
100065,0,39,17766.22,4,4,4,12,Power Users
100066,0,39,22673.82,4,4,4,12,Power Users
100068,113,4,1655.32,1,2,2,5,Dormant / Churned
100072,32,9,3952.23,1,3,2,6,"At-Risk (was frequent, going quiet)"
100073,54,34,16426.88,1,4,4,9,"At-Risk (was frequent, going quiet)"
100076,60,3,2600.5299999999997,1,1,2,4,Dormant / Churned
100079,0,43,21961.5,4,4,4,12,Power Users
100081,2,104,54177.2,3,4,4,11,Power Users
100082,81,9,2591.67,1,3,2,6,"At-Risk (was frequent, going quiet)"
100083,1,30,19854.11,4,4,4,12,Power Users
100084,31,9,3580.9,1,3,2,6,"At-Risk (was frequent, going quiet)"
100087,50,83,46272.87,1,4,4,9,"At-Risk (was frequent, going quiet)"
100091,7,34,19801.59,2,4,4,10,"At-Risk (was frequent, going quiet)"
100092,0,107,47059.31,4,4,4,12,Power Users
100093,2,38,17278.85,3,4,4,11,Power Users
100096,139,1,960.69,1,1,1,3,Dormant / Churned
100097,116,22,12838.3,1,3,3,7,"At-Risk (was frequent, going quiet)"
100099,37,30,14307.27,1,4,4,9,"At-Risk (was frequent, going quiet)"
100105,33,30,18886.329999999998,1,4,4,9,"At-Risk (was frequent, going quiet)"
100106,10,5,3223.0,2,2,2,6,Casual / New
100107,69,3,964.3499999999999,1,1,1,3,Dormant / Churned
100108,2,36,17634.59,3,4,4,11,Power Users
100110,2,37,20853.47,3,4,4,11,Power Users
100111,26,36,15732.779999999999,2,4,4,10,"At-Risk (was frequent, going quiet)"
100112,16,83,53161.79,2,4,4,10,"At-Risk (was frequent, going quiet)"
100115,24,28,21724.07,2,4,4,10,"At-Risk (was frequent, going quiet)"
100117,9,92,48102.56,2,4,4,10,"At-Risk (was frequent, going quiet)"
100118,19,11,5340.09,2,3,3,8,"At-Risk (was frequent, going quiet)"
100119,1,94,55489.52,4,4,4,12,Power Users
100122,3,37,18561.18,3,4,4,11,Power Users
100124,61,4,3071.96,1,2,2,5,Dormant / Churned
100126,4,31,20478.47,3,4,4,11,Power Users
100127,3,37,15455.83,3,4,4,11,Power Users
100128,0,47,30441.69,4,4,4,12,Power Users
100130,171,1,370.31,1,1,1,3,Dormant / Churned
100131,26,4,1592.76,2,2,2,6,Casual / New
100134,77,27,12137.58,1,4,3,8,"At-Risk (was frequent, going quiet)"
100135,1,45,21967.829999999998,4,4,4,12,Power Users
100137,8,6,2630.77,2,2,2,6,Casual / New
100140,126,2,1154.8,1,1,1,3,Dormant / Churned
100141,107,10,6613.639999999999,1,3,3,7,"At-Risk (was frequent, going quiet)"
100142,2,89,38054.59,3,4,4,11,Power Users
100144,0,11,4174.18,4,3,2,9,Regular Users
100146,0,117,68777.8,4,4,4,12,Power Users
100148,0,109,59693.7,4,4,4,12,Power Users
100150,49,4,2574.46,1,2,2,5,Dormant / Churned
100151,20,15,6968.280000000001,2,3,3,8,"At-Risk (was frequent, going quiet)"
100153,98,3,1244.95,1,1,1,3,Dormant / Churned
100155,6,10,4976.2,3,3,3,9,Power Users
100159,114,3,1233.36,1,1,1,3,Dormant / Churned
100160,149,2,1982.51,1,1,2,4,Dormant / Churned
100161,8,33,18559.02,2,4,4,10,"At-Risk (was frequent, going quiet)"
100163,26,18,10896.4,2,3,3,8,"At-Risk (was frequent, going quiet)"
100164,143,2,507.84000000000003,1,1,1,3,Dormant / Churned
100165,21,38,18317.16,2,4,4,10,"At-Risk (was frequent, going quiet)"
100170,64,16,7014.24,1,3,3,7,"At-Risk (was frequent, going quiet)"
100172,0,40,21493.32,4,4,4,12,Power Users
100181,15,11,9795.96,2,3,3,8,"At-Risk (was frequent, going quiet)"
100184,72,24,9626.3,1,3,3,7,"At-Risk (was frequent, going quiet)"
100186,150,2,2077.09,1,1,2,4,Dormant / Churned
100191,14,33,17601.78,2,4,4,10,"At-Risk (was frequent, going quiet)"
100193,93,3,1073.06,1,1,1,3,Dormant / Churned
100200,19,14,6728.599999999999,2,3,3,8,"At-Risk (was frequent, going quiet)"
100202,102,13,3965.84,1,3,2,6,"At-Risk (was frequent, going quiet)"
100203,145,1,862.58,1,1,1,3,Dormant / Churned
100205,7,8,4389.08,2,2,3,7,Casual / New
100206,34,6,3825.14,1,2,2,5,Dormant / Churned
100209,111,4,2420.88,1,2,2,5,Dormant / Churned
100215,105,2,958.64,1,1,1,3,Dormant / Churned
100216,4,32,19822.12,3,4,4,11,Power Users
100217,79,7,3201.92,1,2,2,5,Dormant / Churned
100218,103,5,4229.0199999999995,1,2,2,5,Dormant / Churned
100220,0,42,24659.2,4,4,4,12,Power Users
100222,133,1,110.31,1,1,1,3,Dormant / Churned
100223,152,1,1029.21,1,1,1,3,Dormant / Churned
100225,139,2,694.52,1,1,1,3,Dormant / Churned
100227,158,1,309.9,1,1,1,3,Dormant / Churned
100228,162,1,267.07,1,1,1,3,Dormant / Churned
100229,4,126,67368.66,3,4,4,11,Power Users
100230,115,14,7821.88,1,3,3,7,"At-Risk (was frequent, going quiet)"
100233,151,1,682.64,1,1,1,3,Dormant / Churned
100234,9,42,17680.98,2,4,4,10,"At-Risk (was frequent, going quiet)"
100235,20,33,15098.06,2,4,4,10,"At-Risk (was frequent, going quiet)"
100237,1,105,61851.87,4,4,4,12,Power Users
100238,32,5,822.1800000000001,1,2,1,4,Dormant / Churned
100241,13,34,22316.31,2,4,4,10,"At-Risk (was frequent, going quiet)"
100243,159,1,857.98,1,1,1,3,Dormant / Churned
100247,110,2,1139.1100000000001,1,1,1,3,Dormant / Churned
100248,48,11,5413.75,1,3,3,7,"At-Risk (was frequent, going quiet)"
100250,104,6,2791.89,1,2,2,5,Dormant / Churned
100251,0,117,62235.03,4,4,4,12,Power Users
100254,12,34,21325.75,2,4,4,10,"At-Risk (was frequent, going quiet)"
100256,0,113,66166.04,4,4,4,12,Power Users
100263,3,38,22158.3,3,4,4,11,Power Users
100264,13,43,30000.73,2,4,4,10,"At-Risk (was frequent, going quiet)"
100265,34,9,4314.9,1,3,3,7,"At-Risk (was frequent, going quiet)"
100266,9,44,23239.13,2,4,4,10,"At-Risk (was frequent, going quiet)"
100268,0,42,21934.29,4,4,4,12,Power Users
100269,145,7,2658.51,1,2,2,5,Dormant / Churned
100273,121,2,525.47,1,1,1,3,Dormant / Churned
100274,19,28,12173.18,2,4,3,9,"At-Risk (was frequent, going quiet)"
100277,28,6,2453.76,2,2,2,6,Casual / New
100278,22,8,5677.87,2,2,3,7,Casual / New
100279,119,3,1085.1399999999999,1,1,1,3,Dormant / Churned
100289,135,2,908.87,1,1,1,3,Dormant / Churned
100290,44,8,2128.59,1,2,2,5,Dormant / Churned
100292,2,32,16586.72,3,4,4,11,Power Users
100293,54,35,14889.14,1,4,4,9,"At-Risk (was frequent, going quiet)"
100296,113,2,1704.28,1,1,2,4,Dormant / Churned
100298,157,1,67.88,1,1,1,3,Dormant / Churned
100300,5,7,3373.28,3,2,2,7,Regular Users
100302,5,44,19479.62,3,4,4,11,Power Users
100303,118,3,2494.62,1,1,2,4,Dormant / Churned
100305,4,37,18087.86,3,4,4,11,Power Users
100306,3,118,60374.06,3,4,4,11,Power Users
100307,2,14,6263.15,3,3,3,9,Power Users
100309,7,8,3182.7099999999996,2,2,2,6,Casual / New
100311,1,39,25586.43,4,4,4,12,Power Users
100312,61,24,16737.85,1,3,4,8,"At-Risk (was frequent, going quiet)"
100318,0,116,57399.659999999996,4,4,4,12,Power Users
100322,61,6,4461.6,1,2,3,6,Dormant / Churned
100324,16,26,11757.83,2,4,3,9,"At-Risk (was frequent, going quiet)"
100325,14,39,23025.62,2,4,4,10,"At-Risk (was frequent, going quiet)"
100327,142,1,502.04,1,1,1,3,Dormant / Churned
100328,4,97,58142.69,3,4,4,11,Power Users
100330,138,1,808.75,1,1,1,3,Dormant / Churned
100332,43,8,4390.87,1,2,3,6,Dormant / Churned
100334,148,1,641.11,1,1,1,3,Dormant / Churned
100337,11,26,12306.16,2,4,3,9,"At-Risk (was frequent, going quiet)"
100338,1,118,62636.16,4,4,4,12,Power Users
100341,9,39,29870.23,2,4,4,10,"At-Risk (was frequent, going quiet)"
100342,75,3,1280.6100000000001,1,1,2,4,Dormant / Churned
100343,147,2,576.89,1,1,1,3,Dormant / Churned
100346,111,2,434.56,1,1,1,3,Dormant / Churned
100350,4,95,54235.46,3,4,4,11,Power Users
100352,23,96,53178.15,2,4,4,10,"At-Risk (was frequent, going quiet)"
100356,6,13,6705.46,3,3,3,9,Power Users
100357,132,1,804.44,1,1,1,3,Dormant / Churned
100360,2,30,18353.920000000002,3,4,4,11,Power Users
100361,25,37,24717.09,2,4,4,10,"At-Risk (was frequent, going quiet)"
100363,3,46,20675.59,3,4,4,11,Power Users
100364,79,3,1302.67,1,1,2,4,Dormant / Churned
100365,21,3,956.98,2,1,1,4,Casual / New
100366,12,42,22476.510000000002,2,4,4,10,"At-Risk (was frequent, going quiet)"
100368,58,9,3142.95,1,3,2,6,"At-Risk (was frequent, going quiet)"
100369,36,81,47904.76,1,4,4,9,"At-Risk (was frequent, going quiet)"
100370,14,39,25840.11,2,4,4,10,"At-Risk (was frequent, going quiet)"
100373,108,3,1508.1299999999999,1,1,2,4,Dormant / Churned
100374,0,41,18506.29,4,4,4,12,Power Users
100375,6,33,16593.06,3,4,4,11,Power Users
100379,73,21,9343.79,1,3,3,7,"At-Risk (was frequent, going quiet)"
100380,0,34,19631.739999999998,4,4,4,12,Power Users
100383,14,43,19857.79,2,4,4,10,"At-Risk (was frequent, going quiet)"
100384,143,2,2495.7999999999997,1,1,2,4,Dormant / Churned
100385,31,8,4137.5599999999995,1,2,2,5,Dormant / Churned
100386,49,5,6225.03,1,2,3,6,Dormant / Churned
100388,6,37,19483.969999999998,3,4,4,11,Power Users
